system,activation,horizon,final_train_loss,max_trajectory_error,mean_trajectory_error,max_energy_drift,mean_energy_drift,E0,qualitative_outcome,checkpoint,experiment_dir
Coupled nonlinear oscillators,mySin,long,1.450372479894213e-07,0.0006954201549747773,0.0003427799578208059,0.00014241039752960205,5.495709046954289e-05,0.22374999999999998,strong match to ground truth,/home/rabenda/repo/ece_228/ECE228-HNN/src/Phase3/coupled_oscillator/models/model_coupled_mySin_longtime.zip,/home/rabenda/repo/ece_228/ECE228-HNN/exp_data/coupled_oscillator/baseline
Coupled nonlinear oscillators,AdaptiveSin,long,0.0037658479996025562,1.164839018485217,0.752570522584213,0.08044880628585815,0.028057564049959183,0.22374999999999998,visible drift or phase error,/home/rabenda/repo/ece_228/ECE228-HNN/src/Phase3/coupled_oscillator/models/model_coupled_adaptiveSin_longtime.zip,/home/rabenda/repo/ece_228/ECE228-HNN/exp_data/coupled_oscillator/adaptiveSin
Coupled nonlinear oscillators,GaborActivation,long,0.015979498624801636,0.7192416140964565,0.44553914018055335,0.22365976870059967,0.13434551656246185,0.22374999999999998,visible drift or phase error,/home/rabenda/repo/ece_228/ECE228-HNN/src/Phase3/coupled_oscillator/models/model_coupled_Gabor_longtime.zip,/home/rabenda/repo/ece_228/ECE228-HNN/exp_data/coupled_oscillator/Gabor
